The information provided within this data file was correct at time of publishing and is subject to change at any time. Dated: 16/5/2018


Name,Address,Suburb,Postcode,Phone,Fax,LHD
Auburn Hospital & Community Health Services,Hargrave Road,Auburn,2144,02 8759 3000,02 9563 9666,Western Sydney Local Health District
Blacktown Hospital,Blacktown Road,Blacktown,2148,02 9881 8000,02 9881 8020,Western Sydney Local Health District
Lottie Stewart Hospital and Aged Care,40 Stewart Street,Dundas,2117,02 9858 3255,02 9858 1585,Western Sydney Local Health District
Mount Druitt Hospital,75 Railway St,Mount Druitt,2770,02 9881 1555,02 9881 1538,Western Sydney Local Health District
Westmead Hospital,Cnr Hawkesbury & Darcy Road,Westmead,2145,02 9845 5555,02 9845 5000,Western Sydney Local Health District
Wilcannia Multi-Purpose Service,14 Ross Street,Wilcannia,2836,08 8083 8777,08 8091 5839,Far West Local Health District
Wentworth District Hospital,Silver City Hwy,Wentworth,2648,03 5027 2345,03 5027 3099,Far West Local Health District
Wilcannia Residential Age Care,Ross Street,Wilcannia,2836,08 8083 8777,,Far West Local Health District
Broken Hill Base Hospital,Thomas Street,Broken Hill,2880,08 8080 1333,08 8080 1195,Far West Local Health District
Balranald Multi-Purpose Service,Market Street,Balranald,2715,03 5071 9800,03 5020 1499,Far West Local Health District
Barraba Multi Purpose Service,Edward Street,Barraba,2347,02 6782 2500,02 6782 1808,Hunter New England Local Health District
Armidale Rural Referral Hospital,Rusden Street,Armidale,2350,02 6776 9500,02 6776 4774,Hunter New England Local Health District
Belmont Hospital,Croudace Bay Road,Belmont,2280,02 4923 2000,02 4923 2106,Hunter New England Local Health District
Bulahdelah Community Hospital,Richmond Street,Bulahdelah,2423,02 4987 9900,02 4997 4571,Hunter New England Local Health District
Bingara Multi Purpose Service,Keera Road,Bingara,2404,02 6728 0100,02 6724 1708,Hunter New England Local Health District
Boggabri Multi-Purpose Service,Wee Waa Street,Boggabri,2382,02 6749 7000,02 6743 4274,Hunter New England Local Health District
Cessnock District Hospital,24 View Street,Cessnock,2325,02 4991 0555,02 4991 0563,Hunter New England Local Health District
Denman Multi Purpose Service,51-53 Ogilvie St,Denman,2328,02 6547 3999,02 6547 2822,Hunter New England Local Health District
Merriwa Multi Purpose Service,60 McKenzie Street,Merriwa,2329,02 6532 5000,02 6548 2527,Hunter New England Local Health District
Muswellbrook Hospital,Brentwood Street,Muswellbrook,2333,02 6542 2000,02 6542 2002,Hunter New England Local Health District
Narrabri District Hospital,66 Gibbons Street,Narrabri,2390,02 6799 2800,02 6799 5025,Hunter New England Local Health District
Manning Rural Referral Hospital (Taree),26 York Street,Taree,2430,02 6592 9111,02 6551 7135,Hunter New England Local Health District
The Maitland Hospital,"550 High St,",Maitland,2320,02 4939 2000,02 4939 2270,Hunter New England Local Health District
Manilla Health Service,Court Street,Manilla,2346,02 6785 4000,02 6785 1490,Hunter New England Local Health District
Moree District Hospital,Alice Street,Moree,2400,02 6757 0000,02 6757 3625,Hunter New England Local Health District
Dungog Community Hospital,22 Hospital Road,Dungog,2420,02 4995 7000,02 4995 7005,Hunter New England Local Health District
Glen Innes District Hospital,94 Taylor Street,Glen Innes,2370,02 6739 0200,02 6739 0143,Hunter New England Local Health District
Gloucester Soldiers Memorial Hospital,Church Street,Gloucester,2422,02 6538 5000,02 6558 2218,Hunter New England Local Health District
Inverell District Hospital,41 Swanbrook Rd,Inverell,2360,02 6721 9500,02 6721 9567,Hunter New England Local Health District
Gunnedah District Hospital,Marquis Street,Gunnedah,2380,02 6741 8000,02 6740 2881,Hunter New England Local Health District
Guyra Multi Purpose Service,44-48 Sole Street,Guyra,2365,02 6738 4000,02 6779 1579,Hunter New England Local Health District
Kurri Kurri Hospital,Lang Street,Kurri Kurri,2327,02 4936 3200,02 4936 3239,Hunter New England Local Health District
John Hunter Hospital (including Royal Newcastle Centre and John Hunter Childrens Hospital),Lookout Road,New Lambton Heights,2305,02 4921 3000,02 4921 3999,Hunter New England Local Health District
Muswellbrook Hospital - Nursing Home Unit,Brentwood Street,Muswellbrook,2333,02 6542 2022,,Hunter New England Local Health District
Wallsend Aged Care Facility,15 Nash Street,Wallsend,2287,02 4924 6100,,Hunter New England Local Health District
Denman Residential Aged Care,51-53 Ogilvie St,Denman,2328,02 6547 3999,,Hunter New England Local Health District
Merriwa Residential Aged Care,60 McKenzie Street,Merriwa,2329,02 6548 2006,,Hunter New England Local Health District
Walcha Residential Aged Care,South Street,Walcha,2354,02 6774 2400,,Hunter New England Local Health District
Emmaville - Vegetable Creek Residential Aged Care,13-33 Glen Inns Road,Emmaville,2371,02 6734 7900,,Hunter New England Local Health District
Tingha Residential Aged Care,13997 Guyra Road,Tingha,2369,02 6723 3266,,Hunter New England Local Health District
Guyra Residential Aged Care,48 Sole Street,Guyra,2365,02 6738 4000,,Hunter New England Local Health District
Boggabri Residential Aged Care,Wee Waa Street,Boggabri,2382,02 6749 7000,,Hunter New England Local Health District
Bingara Residential Aged Care,Keera Road,Bingara,2304,02 6728 0130,,Hunter New England Local Health District
Barraba Residential Aged Care,Edward Street,Barraba,2347,02 6782 2507,,Hunter New England Local Health District
Kimbarra Lodge Hostel - Gloucester Soldiers Memorial Hospital,Hay Street,Gloucester,2422,02 6558 1307,,Hunter New England Local Health District
Werris Creek Community Hospital,North Street,Werris Creek,2341,02 6768 6600,02 6768 7775,Hunter New England Local Health District
Wee Waa Community Hospital,Alma Street,Wee Waa,2388,02 6795 0400,02 6795 4905,Hunter New England Local Health District
"Wilson Memorial Community Hospital, Murrurundi",Cnr OConnell & Paradise Rd,Murrurundi,2338,02 6546 9000,02 6546 9005,Hunter New England Local Health District
Wingham Community Hospital,32 Bungay Road,Wingham,2429,02 6557 3400,02 6553 0045,Hunter New England Local Health District
Calvary Mater Newcastle,20 Edith Street,Waratah,2298,02 4921 1211,,Hunter New England Local Health District
Warialda Multi Purpose Service,Long Street,Warialda,2402,02 6728 9000,02 6729 1208,Hunter New England Local Health District
"Scott Memorial Hospital, Scone",Stafford Street,Scone,2337,02 6540 2100,02 6540 2180,Hunter New England Local Health District
Vegetable Creek Hospital,13-33 Glen Innes Road,Emmaville,2371,02 6734 7900,02 6734 7990,Hunter New England Local Health District
Walcha Multi Purpose Service,11 South Middle Street,Walcha,2354,02 6774 2366,02 6777 1458,Hunter New England Local Health District
Tomaree Community Hospital,Trevally Street,Nelson Bay,2315,02 4984 0700,02 4984 0710,Hunter New England Local Health District
Singleton District Hospital,Dangar Road,Singleton,2330,02 6571 9222,02 6571 9282,Hunter New England Local Health District
Quirindi Community Hospital,Nowland Street,Quirindi,2343,02 6746 0200,02 6746 2002,Hunter New England Local Health District
Tenterfield Community Hospital,Naas St,Tenterfield,2372,02 6739 5200,02 6736 2960,Hunter New England Local Health District
Tamworth Rural Referral Hospital,Dean Street ,Tamworth,2340,02 6767 7700,02 6766 1027,Hunter New England Local Health District
Tingha Multi Purpose Service,13997 Guyra Road,Tingha,2369,02 6723 3266,02 6723 3509,Hunter New England Local Health District
Gloucester Soldiers Memorial - Nursing Home Unit,Hay Street,Gloucester,2422,02 6538 5047,,Hunter New England Local Health District
Dorrigo Residential Aged Care,Beech Street,Dorrigo,2453,02 6692 7700,,Mid North Coast Local Health District
Port Macquarie Base Hospital,Wrights Rd,Port Macquarie,2444,02 6581 2000,02 6580 1110,Mid North Coast Local Health District
Wauchope District Memorial Hospital,69 High Street,Wauchope,2446,02 6585 1300,02 6585 3741,Mid North Coast Local Health District
Macksville District Hospital,Boundary Street,Macksville,2447,02 6568 0666,02 6568 2677,Mid North Coast Local Health District
Kempsey District Hospital,119 River Street,Kempsey,2440,02 6562 6155,02 6563 1557,Mid North Coast Local Health District
Dorrigo Multi-Purpose Service,Beech Street,Dorrigo,2453,02 6692 7700,02 6657 2577,Mid North Coast Local Health District
Coffs Harbour Base Hospital,345 Pacific Highway,Coffs Harbour,2450,02 6656 7000,02 6656 7010,Mid North Coast Local Health District
Bellingen River District Hospital,Church Street,Bellingen,2454,02 6659 5800,02 6655 1838,Mid North Coast Local Health District
Berrigan War Memorial Hospital,Memorial Street,Berrigan,2712,03 5885 2208,03 5885 2505,Murrumbidgee Local Health District
Batlow/Adelong Multi Purpose Service,61-81 Pioneer Street,Batlow,2730,02 6941 4333,02 6941 4331,Murrumbidgee Local Health District
Barham Koondrook Soldiers Memorial Hospital,Punt Road,Barham,2732,03 5451 1000,03 5453 2656,Murrumbidgee Local Health District
Boorowa District Hospital,Dry Street,Boorowa,2586,02 6385 3004,02 6385 3206,Murrumbidgee Local Health District
Deniliquin Hospital,411 Charlotte Street,Deniliquin,2710,03 5882 2800,02 5882 2815,Murrumbidgee Local Health District
Culcairn Health Service,57 Balfour Street,Culcairn,2660,02 6029 8203,02 6029 8762,Murrumbidgee Local Health District
Corowa Health Service,53 Guy Street,Corowa,2646,02 6033 7555,02 6033 3646,Murrumbidgee Local Health District
Coolamon-Ganmain Health Service,Buchanan Dr,Coolamon,2701,02 6927 3303,02 6927 3565,Murrumbidgee Local Health District
Lockhart & District Hospital,Hebden Street,Lockhart,2656,02 6920 5206,02 6920 5483,Murrumbidgee Local Health District
Mercy Care Hospital - Young,69 Demondrille Street,Young,2594,02 6382 8888,02 6382 8400,Murrumbidgee Local Health District
Narrandera District Hospital,54 Adams Street,Narrandera,2700,02 6959 1166,02 6959 1063,Murrumbidgee Local Health District
Murrumburrah-Harden District Hospital,Swift Street,Harden,2587,02 6386 2200,02 6386 2931,Murrumbidgee Local Health District
Junee District Hospital,67 Broadway Street,Junee,2663,02 6924 8200 ,02 6924 2485,Murrumbidgee Local Health District
Jerilderie Health Service,Newell Highway,Jerilderie,2716,03 5886 1300,03 5886 1277,Murrumbidgee Local Health District
Lake Cargelligo District Hospital,Uabba Street,Lake Cargelligo,2672,02 6898 1200,02 6898 1244,Murrumbidgee Local Health District
Leeton District Hospital,Wade Avenue & Palm Avenue,Leeton,2705,02 6953 1111,02 6953 4891,Murrumbidgee Local Health District
Hay District Hospital,351 Murray Street,Hay,2711,02 6990 8700,02 6990 8771,Murrumbidgee Local Health District
Henty Hospital,"Henty Community Health Centre, Ivor Street",Henty,2658,02 6929 4999,02 6929 3503,Murrumbidgee Local Health District
Hillston District Hospital,Burns Street,Hillston,2675,02 6961 7200,02 6961 7291,Murrumbidgee Local Health District
Holbrook District Hospital,Bowler Street,Holbrook,2644,02 6036 2522,02 6036 2782,Murrumbidgee Local Health District
Finley Hospital & Community Health Centre,Dawe Avenue,Finley,2713,03 5883 1133,03 5883 1457,Murrumbidgee Local Health District
Griffith Base Hospital,Warrambool Street,Griffith,2680,02 6969 5555,02 6969 5517,Murrumbidgee Local Health District
Gundagai District Hospital,OHagen Street,Gundagai,2722,02 6944 1022,02 6944 1630,Murrumbidgee Local Health District
Wagga Wagga Base Hospital,Docker Street,Wagga Wagga,2650,02 6938 6666,02 6921 5632,Murrumbidgee Local Health District
The Cootamundra Hospital,Mackay Street,Cootamundra,2590,02 6942 0444,02 6942 0433,Murrumbidgee Local Health District
Tumbarumba Multi Purpose Service,Mitchell Street,Tumbarumba,2653,02 6948 9600,02 6948 2263,Murrumbidgee Local Health District
Tumut District Hospital,Simpson Street,Tumut,2720,02 6947 0800,02 6947 3074,Murrumbidgee Local Health District
Urana Health Service,Cnr Church and Princess St,Urana,2645,02 6920 8106,02 6920 8263,Murrumbidgee Local Health District
Wyalong Hospital,70 Ungarie Road,West Wyalong,2671,02 6979 0000,02 6979 0006,Murrumbidgee Local Health District
Tocumwal Hospital,Adams Street,Tocomwal,2714,03 5874 2166,03 5874 2321,Murrumbidgee Local Health District
Temora Hospital,169 Temora Young Road,Temora,2666,02 6977 1066,02 6977 1545,Murrumbidgee Local Health District
Boorowa Residential Aged Care,62 Dry Street,Boorowa,2586,02 6385 3004,,Murrumbidgee Local Health District
Lake Cargelligo Residential Aged Care,Uabba Street,Lake Cargelligo,2672,02 6898 1200,,Murrumbidgee Local Health District
Murrumburah-Harden Residential Aged Care,Swift Street,Harden,2587,02 6386 2200,,Murrumbidgee Local Health District
Young District Hospital,Allanan Street,Young,2594,02 6382 8888,02 6382 4398,Murrumbidgee Local Health District
Tumbarumba Residential Aged Care,4 Mitchell Street,Tumbarumba,2653,02 6948 9600,,Murrumbidgee Local Health District
Urana Residential Aged Care,Corner of Church and Princess St,Urana,2645,02 6920 8106,,Murrumbidgee Local Health District
Mercy Health Service Albury Residential Aged Care,Poole Street,Albury,2640,02 6021 3322,,Murrumbidgee Local Health District
Jerilderie Residential Aged Care,Corner of South Coree Road and West Street,Jerilderie,2716,03 5886 1300,,Murrumbidgee Local Health District
Holbrook Residential Aged Care,Bowler Street,Holbrook,2644,02 6036 2522,,Murrumbidgee Local Health District
Henty Residential Aged Care,7 Keighran Street,Henty,2658,02 6929 4999,,Murrumbidgee Local Health District
Corowa Residential Aged Care,53 Guy Street,Corowa,2646,02 6033 7555,,Murrumbidgee Local Health District
Culcairn Residential Aged Care,51-55 Balfour Street,Culcairn,2660,02 6029 8203,,Murrumbidgee Local Health District
Berrigan Residential Aged Care,Memorial Street,Berrigan,2712,03 5885 2208,,Murrumbidgee Local Health District
Leeton Residential Age Care,Cnr Palm Avenue & Wade Avenue,Leeton,2705,02 6953 1111,,Murrumbidgee Local Health District
Coolamon Residential Aged Care,Buchanan Drive,Coolamon,2701,02 6927 3303,,Murrumbidgee Local Health District
Junee Residential Aged Care,24-28 Commins Street,Junee,2663,02 6924 1122,,Murrumbidgee Local Health District
Hay Residential Age Care,351 Murray Street,Hay,2711,02 6990 8700,,Murrumbidgee Local Health District
Batlow/Adelong Residential Aged Care,61-81 Pioneer Street,Batlow,2730,02 6941 4333,02 6941 4331,Murrumbidgee Local Health District
Mercy Health Service,Poole Street,Albury,2640,02 6021 3322,,Murrumbidgee Local Health District
Urbenville Residential Aged Care,45 Beaury Street,Urbenville,2475,02 6948 1319,,Northern NSW Local Health District
Kyogle Residential Age Care,Summerland Way,Kyogle,2474,02 6632 1522,,Northern NSW Local Health District
Nimbin Residential Aged Care,35 Cullen Street,Nimbin,2480,02 6689 1400,,Northern NSW Local Health District
Urbenville Health Service,45 Beaury Street,Urbenville,2475,02 6948 1319,02 6634 1311,Northern NSW Local Health District
The Tweed Hospital,Powell Street,Tweed Heads,2485,07 5536 1133,07 5506 7411,Northern NSW Local Health District
Grafton Base Hospital,Arthur Street,Grafton,2460,02 6640 2222,02 6640 2444,Northern NSW Local Health District
Kyogle Memorial Hospital,Summerland Way,Kyogle,2474,02 6632 1522,02 6632 2237,Northern NSW Local Health District
Murwillumbah District Hospital,Ewing Street,Murwillumbah,2484,02 6672 1822,02 6672 0299,Northern NSW Local Health District
Nimbin Multi-Purpose Service,35 Cullen Street,Nimbin,2480,02 6689 1400,02 6689 1044,Northern NSW Local Health District
Mullumbimby & District War Memorial Hospital,Azalea Street,Mullumbimby,2482,02 6684 2266,02 6684 1217,Northern NSW Local Health District
Lismore Base Hospital,Uralba Street,Lismore,2480,02 6621 8000,02 6621 7088,Northern NSW Local Health District
Maclean District Hospital,21 Union Street,Maclean,2463,02 6640 0111,02 6645 2252,Northern NSW Local Health District
Casino & District Memorial Hospital,Hotham Street,Casino,2470,02 6662 2111,02 6662 3774,Northern NSW Local Health District
"Campbell Hospital, Coraki",Spring Street,Coraki,2471,02 6683 2019,02 6683 2573,Northern NSW Local Health District
Byron District Hospital,Shirley & Wordsworth Sts,Byron Bay,2481,02 6685 6200,02 6685 7521,Northern NSW Local Health District
Bonalbo Hospital,Clarence Way,Bonalbo,2469,02 6665 1203,02 6665 1116,Northern NSW Local Health District
Ballina District Hospital,Cherry Street,Ballina,2478,02 6686 2111,02 6686 6731,Northern NSW Local Health District
Bega District Hospital,McKee Drive,Bega,2550,02 6492 9111,02 6492 3274,Southern NSW Local Health District
Batemans Bay District Hospital,7 Pacific Street,Batemans Bay,2536,02 4475 1500,02 4472 0678,Southern NSW Local Health District
Bombala District Hospital,Wellington Street,Bombala,2632,02 6458 5777,02 6458 3759,Southern NSW Local Health District
Braidwood Multi Purpose Service,73 Monkittee Street,Braidwood,2622,02 4842 2566,02 4842 2054,Southern NSW Local Health District
Cooma Hospital & Health Service,Bent Street,Cooma,2630,02 6455 3222,02 6452 2117,Southern NSW Local Health District
Crookwell District Hospital,Kialla Road,Crookwell,2583,02 4832 1300,02 4832 2099,Southern NSW Local Health District
Delegate Multi-Purpose Service,Craigie Street,Delegate,2633,02 6459 8000,02 6458 8156,Southern NSW Local Health District
Moruya District Hospital,River Street,Moruya,2537,02 4474 2666,02 4474 1586,Southern NSW Local Health District
Pambula District Hospital,Merimbola Street,Pambula,2549,02 6495 8200,02 6495 6570,Southern NSW Local Health District
Goulburn Base Hospital,130 Goldsmith Street,Goulburn,2580,02 4827 3111,02 4827 3248,Southern NSW Local Health District
Yass District Hospital,Meehan Street,Yass,2582,(02) 6220 2000,02 6226 2944,Southern NSW Local Health District
St John of God Hospital,234 Bourke Street,Goulburn,2580,02 4823 7800,02 4821 9659,Southern NSW Local Health District
Queanbeyan District Hospital,Corner Erin & Collett Streets,Queanbeyan,2620,02 6298 9211,02 6299 1536,Southern NSW Local Health District
Delegate Residential Aged Care,6 Craigie Street,Delegate,2633,02 6458 8008,,Southern NSW Local Health District
Braidwood Residential Aged Care,73 Monkittee Street,Braidwood,2622,02 4842 2566,,Southern NSW Local Health District
Bombala Residential Aged Care,Wellington Street,Bombala,2632,02 6458 5777,,Southern NSW Local Health District
South East Regional Hospital,4 Virginia Drive,Bega,2550,02 6491 9999,,Southern NSW Local Health District
Trundle Residential Aged Care,Brookview Street,Trundle,2875,02 6892 1051,,Western NSW Local Health District
Oberon Residential Aged Care,North Street,Oberon,2787,02 6336 7200,,Western NSW Local Health District
Grenfell Residential Aged Care,Sullivan Street,Grenfell,2810,02 6349 1700,,Western NSW Local Health District
Blayney Residential Aged Care,3 Osman Street,Blayney,2799,02 6368 9000,,Western NSW Local Health District
Peg Cross Nursing Home,Fox Street ,Walgett,2832,02 6828 6000,,Western NSW Local Health District
Tullamore Residential Aged Care,1 Hinkler Street,Tullamore,2874,02 6892 5003,,Western NSW Local Health District
Tottenham Residential Aged Care,Umang Street,Tottenham,2873,02 6892 4003,,Western NSW Local Health District
Rylstone Residential Aged Care,Fitzgerald Street,Rylstone,2849,02 6357 8111,,Western NSW Local Health District
Coolah Residential Aged Care,Goddard Street,Coolah,2843,02 6377 1177,,Western NSW Local Health District
Gilgandra Residential Aged Care,Chelmsford Avenue,Gilgandra,2827,02 6847 2366,,Western NSW Local Health District
Lightning Ridge Residential Aged Care,20 Pandora Street,Lightning Ridge,2834,02 6829 9999,,Western NSW Local Health District
Warren Residential Aged Care,Dr Kater Drive,Warren,2824,02 6847 7200,,Western NSW Local Health District
Trangie Residential Aged Care,29 Harris Street,Trangie,2823,02 6888 7546,,Western NSW Local Health District
Nyngan Residential Aged Care,15 Hoskins Street,Nyngan,2825,02 6835 1700,,Western NSW Local Health District
Dunedoo Residential Aged Care,Digilah Street,Dunedoo,2844,02 6375 1408,,Western NSW Local Health District
Gulargambone Residential Age Care,Bourbah Street,Gulargambone,2828,02 6825 1201,,Western NSW Local Health District
Baradine Residential Aged Care,Corner of Darling and Macquarie Street,Baradine,2396,02 6843 1909,,Western NSW Local Health District
Bourke Residential Aged Care,26 Tarcoon Street,Bourke,2840,02 6870 8888,,Western NSW Local Health District
Brewarrina Residential Aged Care,56 Doyle Street,Brewarrina,2839,02 6830 5000,,Western NSW Local Health District
Collarenebri Residential Aged Care,Walgett Street,Collarenebri,2833,02 6756 4888,,Western NSW Local Health District
Rylstone Multi-Purpose Health Service,Fitzgerald Street,Rylstone,2849,02 6357 8100,02 6357 8112,Western NSW Local Health District
Tottenham Hospital,Umang Street,Tottenham,2873,02 6891 6200,02 6892 4091,Western NSW Local Health District
Trangie Multi-Purpose Health Service,28 Harris Street,Trangie,2823,02 6880 8200,02 6888 7605,Western NSW Local Health District
Trundle Multi-Purpose Service,Brookview Street,Trundle,2875,02 6892 1051,02 6892 1233,Western NSW Local Health District
Tullamore Health Service,1 Hinkler Street,Tullamore,2874,02 6892 5003,02 6892 5166,Western NSW Local Health District
Wellington Health Service,Gisborne Street,Wellington,2820,02 6840 7200,02 6845 2100,Western NSW Local Health District
Walgett Health Service,141 Fox Street,Walgett,2832,02 6828 6000,02 6828 2194,Western NSW Local Health District
Warren Multi-Purpose Health Service,Dr Kater Drive,Warren,2824,02 6847 7200,02 6847 3099,Western NSW Local Health District
Grenfell Multi-Purpose Service,Sullivan Street,Grenfell,2810,02 6349 1700,02 6342 3145,Western NSW Local Health District
Gulargambone Multi-Purpose Service,Bourbah Street,Gulargambone,2828,02 6825 1201,02 6825 1107,Western NSW Local Health District
Gulgong Health Service,Gulgong Street,Gulgong,2852,02 6374 3400,02 6374 2261,Western NSW Local Health District
Forbes District Hospital,Elgin Street,Forbes,2871,02 6850 2000,02 6852 3078,Western NSW Local Health District
Eugowra Memorial Multi Purpose Service,Hill Street,Eugowra,2806,02 6850 4000,02 6859 2483,Western NSW Local Health District
Gilgandra Multi-Purpose Health Service,Chelmsford Avenue,Gilgandra,2827,02 6880 5900,02 6847 2754,Western NSW Local Health District
